,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_and_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,other_debtors_or_guarantors,property,age_in_years,other_installment_plans,housing,creditability
176,no checking account,30,all credits at this bank paid back duly,car (used),7485,unknown/ no savings account,unemployed,4,none,real estate,53,bank,own,1
177,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,2577,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",42,none,own,0
178,... < 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,338,500 <= ... < 1000 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",52,none,own,0
179,no checking account,12,existing credits paid back duly till now,radio/television,1963,... < 100 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",31,none,rent,0
180,... < 0 DM,21,critical account/ other credits existing (not at this bank),car (new),571,... < 100 DM,... >= 7 years,4,none,real estate,65,none,own,0
181,no checking account,36,delay in paying off in the past,business,9572,... < 100 DM,... < 1 year,1,none,"car or other, not in attribute Savings account/bonds",28,none,own,1
182,0 <= ... < 200 DM,36,delay in paying off in the past,business,4455,... < 100 DM,1 <= ... < 4 years,2,none,real estate,30,stores,own,1
183,... < 0 DM,21,all credits at this bank paid back duly,car (new),1647,unknown/ no savings account,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,40,none,own,1
184,no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,3777,... >= 1000 DM,1 <= ... < 4 years,4,none,real estate,50,none,own,0
185,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),884,... < 100 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",36,bank,own,1
186,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1360,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,31,none,own,0
187,0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (used),5129,... < 100 DM,... >= 7 years,2,none,unknown / no property,74,bank,for free,1
188,0 <= ... < 200 DM,16,critical account/ other credits existing (not at this bank),car (new),1175,... < 100 DM,unemployed,2,none,"car or other, not in attribute Savings account/bonds",68,none,for free,0
189,... < 0 DM,12,existing credits paid back duly till now,radio/television,674,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,20,none,own,1
190,0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,furniture/equipment,3244,... < 100 DM,1 <= ... < 4 years,1,none,"car or other, not in attribute Savings account/bonds",33,bank,own,0
191,no checking account,24,existing credits paid back duly till now,business,4591,... >= 1000 DM,1 <= ... < 4 years,2,none,building society savings agreement/ life insurance,54,none,own,1
192,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,3844,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,unknown / no property,34,none,for free,1
193,0 <= ... < 200 DM,27,existing credits paid back duly till now,business,3915,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",36,none,own,1
194,no checking account,6,existing credits paid back duly till now,radio/television,2108,... < 100 DM,4 <= ... < 7 years,2,none,real estate,29,none,rent,0
195,0 <= ... < 200 DM,45,existing credits paid back duly till now,radio/television,3031,100 <= ... < 500 DM,1 <= ... < 4 years,4,guarantor,building society savings agreement/ life insurance,21,none,rent,1
196,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),education,1501,... < 100 DM,... >= 7 years,2,none,"car or other, not in attribute Savings account/bonds",34,none,own,1
197,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1382,... < 100 DM,1 <= ... < 4 years,1,none,"car or other, not in attribute Savings account/bonds",28,none,own,0
198,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,951,100 <= ... < 500 DM,... < 1 year,4,none,"car or other, not in attribute Savings account/bonds",27,bank,rent,1
199,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),2760,unknown/ no savings account,... >= 7 years,4,none,unknown / no property,36,bank,for free,0
200,0 <= ... < 200 DM,18,delay in paying off in the past,furniture/equipment,4297,... < 100 DM,... >= 7 years,4,none,unknown / no property,40,none,own,1
201,no checking account,9,critical account/ other credits existing (not at this bank),education,936,500 <= ... < 1000 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",52,none,own,0
202,... < 0 DM,12,existing credits paid back duly till now,car (new),1168,... < 100 DM,1 <= ... < 4 years,4,none,real estate,27,none,own,0
203,no checking account,27,delay in paying off in the past,business,5117,... < 100 DM,4 <= ... < 7 years,3,none,"car or other, not in attribute Savings account/bonds",26,none,own,0
204,... < 0 DM,12,existing credits paid back duly till now,retraining,902,... < 100 DM,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,21,none,rent,1
205,no checking account,12,critical account/ other credits existing (not at this bank),car (new),1495,... < 100 DM,... >= 7 years,4,none,real estate,38,none,own,0
206,... < 0 DM,30,critical account/ other credits existing (not at this bank),car (used),10623,... < 100 DM,... >= 7 years,3,none,unknown / no property,38,none,for free,0
207,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1935,... < 100 DM,... >= 7 years,4,none,real estate,43,none,own,0
208,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),domestic appliances,1424,... < 100 DM,4 <= ... < 7 years,4,none,building society savings agreement/ life insurance,26,none,own,0
209,... < 0 DM,24,existing credits paid back duly till now,business,6568,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",21,stores,own,0
210,no checking account,12,existing credits paid back duly till now,car (used),1413,... >= 1000 DM,4 <= ... < 7 years,3,none,building society savings agreement/ life insurance,55,none,own,0
211,no checking account,9,critical account/ other credits existing (not at this bank),radio/television,3074,unknown/ no savings account,1 <= ... < 4 years,1,none,real estate,33,none,own,0
212,no checking account,36,existing credits paid back duly till now,radio/television,3835,unknown/ no savings account,... >= 7 years,2,none,real estate,45,none,own,0
213,... < 0 DM,27,no credits taken/ all credits paid back duly,business,5293,... < 100 DM,unemployed,2,none,building society savings agreement/ life insurance,50,stores,own,1
214,... >= 200 DM / salary assignments for at least 1 year,30,delay in paying off in the past,business,1908,... < 100 DM,... >= 7 years,4,none,real estate,66,none,own,1
215,no checking account,36,critical account/ other credits existing (not at this bank),radio/television,3342,unknown/ no savings account,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",51,none,own,0
216,0 <= ... < 200 DM,6,critical account/ other credits existing (not at this bank),retraining,932,unknown/ no savings account,4 <= ... < 7 years,1,none,building society savings agreement/ life insurance,39,none,own,0
217,... < 0 DM,18,no credits taken/ all credits paid back duly,business,3104,... < 100 DM,4 <= ... < 7 years,3,none,building society savings agreement/ life insurance,31,bank,own,0
218,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,3913,... < 100 DM,1 <= ... < 4 years,2,none,real estate,23,none,own,0
219,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3021,... < 100 DM,1 <= ... < 4 years,2,none,real estate,24,none,rent,0
220,no checking account,10,existing credits paid back duly till now,car (new),1364,... < 100 DM,1 <= ... < 4 years,2,none,"car or other, not in attribute Savings account/bonds",64,none,own,0
221,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,625,... < 100 DM,... < 1 year,4,guarantor,real estate,26,bank,own,0
222,... < 0 DM,12,existing credits paid back duly till now,education,1200,unknown/ no savings account,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,23,bank,rent,0
223,no checking account,12,existing credits paid back duly till now,radio/television,707,... < 100 DM,1 <= ... < 4 years,4,none,real estate,30,bank,own,0
224,no checking account,24,delay in paying off in the past,business,2978,unknown/ no savings account,1 <= ... < 4 years,4,none,real estate,32,none,own,0
225,no checking account,15,existing credits paid back duly till now,car (used),4657,... < 100 DM,1 <= ... < 4 years,3,none,"car or other, not in attribute Savings account/bonds",30,none,own,0
226,no checking account,36,no credits taken/ all credits paid back duly,repairs,2613,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",27,none,own,0
227,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,10961,... >= 1000 DM,4 <= ... < 7 years,1,co-applicant,unknown / no property,27,bank,own,1
228,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,7865,... < 100 DM,... >= 7 years,4,none,unknown / no property,53,none,for free,1
229,no checking account,9,existing credits paid back duly till now,radio/television,1478,... < 100 DM,4 <= ... < 7 years,4,none,"car or other, not in attribute Savings account/bonds",22,none,own,1
230,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3149,... < 100 DM,... < 1 year,4,none,unknown / no property,22,bank,for free,0
231,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,4210,... < 100 DM,1 <= ... < 4 years,4,none,"car or other, not in attribute Savings account/bonds",26,none,own,1
232,no checking account,9,existing credits paid back duly till now,car (new),2507,500 <= ... < 1000 DM,... >= 7 years,2,none,unknown / no property,51,none,for free,0
233,no checking account,12,existing credits paid back duly till now,radio/television,2141,100 <= ... < 500 DM,4 <= ... < 7 years,3,none,unknown / no property,35,none,own,0
234,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,866,... < 100 DM,1 <= ... < 4 years,4,guarantor,real estate,25,none,own,0
235,no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1544,... < 100 DM,4 <= ... < 7 years,2,none,real estate,42,none,own,0
236,... < 0 DM,24,existing credits paid back duly till now,radio/television,1823,... < 100 DM,unemployed,4,none,"car or other, not in attribute Savings account/bonds",30,stores,own,1
237,0 <= ... < 200 DM,6,existing credits paid back duly till now,car (new),14555,unknown/ no savings account,unemployed,1,none,building society savings agreement/ life insurance,23,none,own,1
238,0 <= ... < 200 DM,21,existing credits paid back duly till now,business,2767,100 <= ... < 500 DM,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",61,bank,rent,1
239,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1291,... < 100 DM,1 <= ... < 4 years,4,none,building society savings agreement/ life insurance,35,none,own,0
240,... < 0 DM,30,existing credits paid back duly till now,radio/television,2522,... < 100 DM,... >= 7 years,1,guarantor,building society savings agreement/ life insurance,39,none,own,0
241,... < 0 DM,24,existing credits paid back duly till now,car (new),915,unknown/ no savings account,... >= 7 years,4,none,"car or other, not in attribute Savings account/bonds",29,bank,own,1
242,no checking account,6,existing credits paid back duly till now,radio/television,1595,... < 100 DM,4 <= ... < 7 years,3,none,building society savings agreement/ life insurance,51,none,own,0
243,... < 0 DM,48,no credits taken/ all credits paid back duly,car (used),4605,... < 100 DM,... >= 7 years,3,none,unknown / no property,24,none,for free,1
244,no checking account,12,critical account/ other credits existing (not at this bank),business,1185,... < 100 DM,1 <= ... < 4 years,3,none,real estate,27,none,own,0
245,no checking account,12,all credits at this bank paid back duly,retraining,3447,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,real estate,35,none,own,0
